page,eng,twi
10,a fishing net,àsaù
10,a dance,asaú
10,to write,kyerẹu
10,to tear,tẹu
10,to pursue,tiu
10,politeness,opou
10,sesaw,sesa
10,fotow,foto
10,susuw,susu
10,ahõsepew,ahõsepe
10,titiriw,titiri
10,to dance,sau
10,to plant,tẹu
10,to tear,tẽu
10,to polish,pou (hõ)
10,to throw,tõ ky.
10,to bear fruit,sõ (aba)
11,oil,ṅuo
11,a name,ediṅ
11,a road,okwaṅ
11,a toucan,oṅwám
11,a slave,onyǎ
11,a hat,ekyẹ
11,a shady tree,gyedua
11,the order,òhyé
11,the border,ohyé
11,a meeting,úhyiam
11,the world,eẇiase
11,the shade,oṅẇini
11,the name of the second capital of Asante,Dwabin
11,the name of the second capital of Asante,Juabin
11,the name of the second capital of Asante,Dẇabéṅ
13,Asen,Asen
13,Akyem,Akyém
13,Akuapem,Akuapém
13,Akwam,Akwàm
13,Akwamu,Akwàmú
13,Fante,Fànté
13,Akan,Akán
13,Elmina,Edĕnă
13,Cape Coast,Eguã
13,Cape Coast,Oguã
13,Anamaboe,Qnōmăbó
13,Abora,A'bórà
13,Akumfi,Akūmfí
13,Agyimako,Agyímakõ
13,Gomoa,Gomõá
13,Agona,Agonã
13,Denkyira,Dánkyira
13,Tshiforo,Tshu-foro
13,Tofel,Tofel
13,Wasa,Wasá
13,Ahanta,Ahanta
13,Twi,Twi
13,Tshi,Tshi
13,Asante,Asante
13,Apa,Apá
13,Simpa,Simpã
13,Sanya,Sãnyã
13,Apam,Apam
13,Winnebah,Winnebah
13,Seniah,Seniah
13,Date,Date
13,Kyerepong,Kyerepong
14,that tree,dua no
14,a tree,dua bi
14,some tree,dua bi
14,a true witness,nokware dansefo
14,trustworthy,onokwafo
15,tell,kã..kyerɛ
15,try,kã..fwɛ
15,try,sọ..fwɛ
15,sympathise,hũ mã..
15,sympathise,te mã..
15,lengthen,mã..kyɛ
15,lengthen,mã..ware
15,tremble,hõ popo
15,covet,ani bere
15,covet,kọn dọ
15,chastise,kã anim
15,chastise,twẽ asõ
15,chastise,tua ka
15,check,siu kwan
15,check,siu ano
15,check,bɛre ano ase
16,he never goes there,óŋkó ho da
16,he leaps over a ditch,ohuru tra ọkã
16,he lives in the bush,ote wuram'
16,he goes into the bush,oko wuram'
16,he flees into the bush,oguãn ko wuram'
16,he goes from the ship into a boat,ofi hyén mu si bonto mu
17,snare,afiri
17,serve,sõm
17,faint,tọ piti
17,bata,di
17,to be healthy,hõ ye
17,to be valuable,nea ehõ ye nã
18,The Holy Bible,Anyamesɛm
18,The Holy Bible,Kyerɛw Kronkron
18,The New Testament,Apãmfoforo
18,A Dictionary English-Tshi (Asante),
18,Dr. Barth's Bible Stories,Anyamesɛm mu Abasɛm
18,Bible Stories for Little Children,Anyamesɛm mu nsɛmma mã mmótafowa
18,Liturgy and Hymns,Asɔre nè Nùwom
18,Tunes to the Hymnbook,
18,"Catechism, Bible Passages and Prayers",Asũasɛm nè Asɔresɛm
18,The Doctrines of Christian Religion,Kristofo Nyamesom hɔ Kyerɛ
19,Standard Reading Books for Vernacular Schools,Twi Keṅkaṅ Ṅhōma
19,A Grammar of the Tshi (Asante) and Fante Language,
19,A Short Handbook of Bible Knowledge,Anyamesem mu Kwaṅkyerefo
19,Pilgrim's Progress,Kristoni Akwantu
19,Man's Heart,Onipa Kōma
19,Stories from General History,Wiase Abasem
19,Traveller's Companion,Okwantufo Hōkāfo
19,Tshi Proverbs,3680 Mmebusem
19,Rules of the Basel Mission Churches on the Goldcoast,Basel Asempaterefo-asafo Amammuisem
19,A Dictionary of the Asante and Fante Language called Tshi,
19,Hymnbook with Tunes for Abstainers,Anidaho-Ṅṅwom
19,"Christian Messenger, a monthly paper in the Tshi Language",
20,biribi,brb.
20,something,s. th.
20,anase,a.s.
20,or,or
20,nè ade,n.a.
20,etc.,etc.
21,A,bi
21,A,biakõ
21,aback,akyiri
21,abandon,gyae
21,abandon,gyau
21,abandon,gyã mu
21,abandon,pa
21,abandon,yi..mã
21,abandon,gyã .kyene
21,abase,bĕre ase
21,abase,boto
21,abash,gu anim ase
21,abash,hye aniwu
21,abash,kum aniwu
21,abash,fere
21,abash,ani wu
21,abate,te..so
21,abate,hũaṅ so
21,abate,mã ebo so hũaṅ
21,abate,dwo
21,abate,gyae
21,abate,..so twĕ
21,abbey,ṅkokoradaṅ
21,abbey,ṅkokora-asoredaṅ
21,abbreviate,twa so
21,abbreviate,-tiã
21,abdicate,gyae
21,abdicate,gyae di
21,abdicate,akyidi
21,abdicate,tu nehõ so
21,abdomen,ayaase
21,abdomen,yam
21,abdomen,yafu-nu(m)
21,abduce,tew (ko)
21,abduce,twĕ..ko
21,aberrant,fõm (kwaṅ)
21,aberrant,fi..kyini
21,abet,pĩa
21,abet,hye deṅ
21,abet,hye ṅkuraṅ
